我的,wo3 de5,mine
你的,ni2 de5,yours
他的,ta1 de5,his
她的,ta1 de5,hers
日,ri4,"sun, day"
月,yue4,"moon, month"
天,tian1,"sky, heaven"
天空,tian1 kong1,the sky
月亮,yue4 liang4,the moon
一,yi1,one
二,er4,two
三,san1,three
四,si4,four
五,wu3,five
六,liu4,six
七,qi1,seven
八,ba1,eight
九,jiu3,nine
十,shi2,ten
天亮,tian1 liang4,"dawn, daybreak"
起床,qi3 chuang2,"to get out of bed"
出来,chu1 lai2,"to go out"
房间,fang2 jian1,room
笑,xiao4,to laugh
写,xie3,to write
晚上,wan3 shang4,evening
睡觉,shui4 jiao4,to sleep
早上,zao3 shang4,morning
非常,fei1 chang2,"very, extremely"
碗,wan3,bowl
家,jia1,"home, family"
鸡,ji1,chicken
尾巴,wei3 ba,tail
娃娃,wa2 wa5,doll
几,ji3,how many?
嘴巴,zui3 ba5,mouth
吃,chi1,to eat
停,ting2,to stop
和,he2,and
哪个,na3 ge4,which?
对,dui4,correct
减,jian3,"to subtract, to reduce"
星星,xing1 xing1,star
宝宝,bao3 bao,baby
手指,shou3 zhi3,finger
跟,gen1,"with, and"
根,gen1,"MW for long thin things"
等于,deng3 yu2,to equal
年,nian2,year
只,zhi1,MW for small animals with legs,use_ssml
加,jia1,"to add, to increase"
手势,shou3 shi4,hand gesture
在,zai4,"in, at"
数字,shu4 zi4,number
上面,shang4 mian4,on top
老师,lao3 shi1,teacher
同学,tong2 xue2,classmate
同学们,tong2 xue2 men5,classmates
中间,zhong1 jian1,"middle, between"
一起,yi4 qi3,together
手,shou3,hand
角,jiao3,"corner, angle"
句子,ju4 zi5,sentence
棒,bang4,excellent
下面,xia4 mian4,under
蜡烛,la4 zhu2,candle
说,shuo1,to speak
拖拉机,tuo1 la1 ji1,tractor
灌木丛,guan4 mu4 cong2,"bush, shrub"
农场,nong2 chang3,farm
农民,nong2 min2,farmer
马,ma3,horse
猪,zhu1,pig
云,yun2,cloud
狗,gou3,dog
看见,kan4 jian4,to see
哥哥,ge1 ge5,older brother
牛,niu2,cow
弟弟,di4 di5,younger brother
猫,mao1,cat
羊,yang2,"sheep, goat"
兔子,tu4 zi5,rabbit
鸟,niao3,bird
树,shu4,tree
读,du2,to read
